date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:54	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
14:20:54	29568/29568	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Nov%202021%2010:54:28%20GMT	https://marketifythemes.net/html/tokyo/	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/index.html	(from )
14:20:55	83147/83147	---MCZ	200	added ('OK')	text/css	etag:W/%221bba2-61865ee5-3a57a4349879f26c;gz%22	https://marketifythemes.net/html/tokyo/css/plugins.css	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/css/plugins.css	(from https://marketifythemes.net/html/tokyo/)
14:20:55	4880/4880	---MCZ	200	added ('OK')	text/css	etag:W/%221762-61865ee5-da737e80ac766220;gz%22	https://marketifythemes.net/html/tokyo/css/dark.css	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/css/dark.css	(from https://marketifythemes.net/html/tokyo/)
14:20:56	33095/33095	---M-Z	200	added ('OK')	text/css	etag:%228147-61865ee5-fcfa253d964d53cb;gz%22	https://marketifythemes.net/html/tokyo/css/colors.css	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/css/colors.css	(from https://marketifythemes.net/html/tokyo/)
14:20:56	35503/35503	---MCZ	200	added ('OK')	text/css	etag:W/%22b6ac-61865ee5-27695878ba1abcd2;gz%22	https://marketifythemes.net/html/tokyo/css/style.css	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/css/style.css	(from https://marketifythemes.net/html/tokyo/)
14:20:57	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2264f-61865ee8-fc76fe90281bcb05;gz%22	https://marketifythemes.net/html/tokyo/img/svg/cancel.svg	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/svg/cancel.svg	(from https://marketifythemes.net/html/tokyo/)
14:20:57	4394/4394	---M--	200	added ('OK')	image/png	etag:%22112a-61865ee6-4ad89b8941f7d599;;;%22	https://marketifythemes.net/html/tokyo/img/partners/1.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/1.png	(from https://marketifythemes.net/html/tokyo/)
14:20:58	4652/4652	---M--	200	added ('OK')	image/png	etag:%22122c-61865ee6-8d50b6daf62134c4;;;%22	https://marketifythemes.net/html/tokyo/img/partners/2.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/2.png	(from https://marketifythemes.net/html/tokyo/)
14:20:58	4735/4735	---M--	200	added ('OK')	image/png	etag:%22127f-61865ee6-4784036125b76e08;;;%22	https://marketifythemes.net/html/tokyo/img/partners/3.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/3.png	(from https://marketifythemes.net/html/tokyo/)
14:20:59	5178/5178	---M--	200	added ('OK')	image/png	etag:%22143a-61865ee7-562db267f9299021;;;%22	https://marketifythemes.net/html/tokyo/img/partners/4.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/4.png	(from https://marketifythemes.net/html/tokyo/)
14:20:59	5493/5493	---M--	200	added ('OK')	image/png	etag:%221575-61865ee7-3f90a6530562c4bb;;;%22	https://marketifythemes.net/html/tokyo/img/partners/5.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/5.png	(from https://marketifythemes.net/html/tokyo/)
14:21:00	4985/4985	---M--	200	added ('OK')	image/png	etag:%221379-61865ee7-e91637aa1c48bf9e;;;%22	https://marketifythemes.net/html/tokyo/img/partners/6.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/6.png	(from https://marketifythemes.net/html/tokyo/)
14:21:00	4647/4647	---M--	200	added ('OK')	image/png	etag:%221227-61865ee7-1643e5d4debfef92;;;%22	https://marketifythemes.net/html/tokyo/img/partners/7.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/7.png	(from https://marketifythemes.net/html/tokyo/)
14:21:01	4965/4965	---M--	200	added ('OK')	image/png	etag:%221365-61865ee7-924745cd0b28d4dc;;;%22	https://marketifythemes.net/html/tokyo/img/partners/8.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/partners/8.png	(from https://marketifythemes.net/html/tokyo/)
14:21:01	1661/1661	---M--	200	added ('OK')	image/png	etag:%2267d-61865ee6-591781f6abac0cbe;;;%22	https://marketifythemes.net/html/tokyo/img/logo/dark.png	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/logo/dark.png	(from https://marketifythemes.net/html/tokyo/)
14:21:02	1191/1191	---M-Z	200	added ('OK')	image/svg+xml	etag:%224a7-61865ee8-fce22a69fa8203c5;gz%22	https://marketifythemes.net/html/tokyo/img/svg/home-run.svg	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/svg/home-run.svg	(from https://marketifythemes.net/html/tokyo/)
14:21:03	1485/1485	---M-Z	200	added ('OK')	image/svg+xml	etag:%225cd-61865ee8-3d257f9f718ad9d3;gz%22	https://marketifythemes.net/html/tokyo/img/svg/avatar.svg	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/svg/avatar.svg	(from https://marketifythemes.net/html/tokyo/)
14:21:04	1031/1031	---M-Z	200	added ('OK')	image/svg+xml	etag:%22407-61865ee8-f4248f21b3a00a42;gz%22	https://marketifythemes.net/html/tokyo/img/svg/briefcase.svg	C:/My%20Web%20Sites/uma/marketifythemes.net/html/tokyo/img/svg/briefcase.svg	(from https://marketifythemes.net/html/tokyo/)
